date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,sunlight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2019-11-10,7.4,3.41,3.1,-1.2,,-6,90,76,78.5,67,1.8,-0.5,-0.4,-2.7,27,17.5,18.5,10,45,27,102,101.42,101.55,101.1,99.83,99.28,99.4,98.97,24100,23100,20100,16100,2.5,2.2,2.1,1.8,14.9,0,0,0,0,0.6,0.4,0.2,0,07:05:00,16:58:00,9.88,7.08,16.97,2,2,7,7,-3,-3,,,,,,8,7.7,7,6,,,,
2019-11-09,3.3,0.76,-0.39,-4.1,,-9,82,66,68.5,55,-2.2,-5,-5.2,-8.2,31,22.54,21,11,50,20,102.5,101.82,101.9,101.3,100.32,99.67,99.76,99.21,24100,24100,24100,24100,2.9,2.4,2.5,2.2,18.4,0,0,0,0,0,0,0,0,07:03:00,16:59:00,9.93,7.05,16.98,1,1,3,3,3,3,,,,,,8,7,6,4,,,,
2019-11-08,0.6,-3,-2.6,-5.8,,-12,80,67.2,66,52,-6,-8.4,-8.1,-10.2,25,10.96,15.5,6,30,4,102.9,102.65,102.6,102.3,100.67,100.47,100.42,100.17,24100,24100,24100,24100,2.8,2.2,2.3,1.8,20.6,0,0,0,0,0,0,0,0,07:02:00,17:00:00,9.97,7.03,17,2,2,0,0,-5,-5,,,,,,6,2.3,3,0,,,,
2019-11-07,2.6,-0.09,-0.19,-3,,-7,97,81.3,80.5,64,1,-3,-2.2,-5.3,20,11.46,11.5,3,32,33,102.4,102.28,102.25,102.1,100.28,100.13,100.13,99.99,24100,19887.5,13650,3200,2.6,2.4,2.3,2,18.2,0,0,0,0,3.6,1.6,2,1,07:01:00,17:02:00,10.02,7.02,17.03,1,1,2,2,-5,-4,,,,,,8,6.3,4.5,1,,,,
2019-11-06,5.2,1.78,1.35,-2.5,,-7,92,68.8,68.5,45,1.9,-3.6,-2.5,-7,21,14.96,13.5,6,42,28,102.9,102.6,102.55,102.2,100.78,100.45,100.43,100.08,24100,23166.7,20100,16100,2.8,2.5,2.5,2.2,16.6,0,0,0,0,0.6,0.2,0.4,,06:59:00,17:03:00,10.07,6.98,17.05,1,2,5,5,0,0,,,,,,8,5.4,4,0,,,,
2019-11-05,9.2,5.59,4.5,-0.2,,,80,63.8,63.5,47,4.6,-0.9,-0.4,-5.3,29,16.79,18.5,8,52,28,102.4,101.93,101.95,101.5,100.22,99.8,99.82,99.42,24100,24100,24100,24100,2.7,2.4,2.4,2.1,13.5,0,0,0,0,0,0,0,,06:58:00,17:04:00,10.1,6.97,17.07,1,2,9,9,-2,-2,,,,,,8,6.2,6,4,,,,
2019-11-04,12.3,8.22,7.3,2.3,,,89,69.9,68.5,48,5.8,2.7,1.6,-2.7,41,25.33,23.5,6,61,20,102.2,101.68,101.75,101.3,100.02,99.54,99.62,99.23,24100,23300,16900,9700,2.7,2.3,2.3,1.9,10.7,0,2.3,0.3,0,1,1,0,,06:57:00,17:05:00,10.13,6.95,17.08,1,1,11,11,6,7,,,,,,8,7.6,6.5,5,,,,
2019-11-03,6.5,2.65,3.55,0.6,,,92,73.1,71,50,0.8,-1.9,-1.8,-4.4,29,14.64,16.5,4,48,28,102.2,101.88,101.85,101.5,100.07,99.74,99.74,99.4,24100,24100,24100,24100,2.6,1.9,2.1,1.7,14.4,0,0,0,0,0,0,0,,06:55:00,17:07:00,10.2,6.92,17.12,2,2,6,7,0,0,,,,,,8,5.4,4.5,1,,,,
2019-11-02,7.2,4.14,4,0.8,,,92,79.8,81.5,71,3.6,0.9,0.6,-2.5,39,18.46,24,9,52,18,102.3,101.77,101.9,101.5,100.15,99.63,99.77,99.39,24100,23500,16900,9700,2.3,2.1,2.1,1.9,14,0,0,0,0,0.4,0.4,0,,07:54:00,18:08:00,10.23,7.9,18.13,1,1,7,9,0,0,,,,,,8,6.9,6,4,,,,
2019-11-01,5,3.33,3.3,1.6,,,87,68.4,71.5,56,3.7,-2.1,-0.2,-4.2,46,26.96,25,4,84,27,102.5,101.63,101,99.5,100.3,99.49,98.88,97.46,24100,23766.7,20100,16100,2.1,1.8,1.7,1.3,14.7,0,0,0,0,0,0,0,,07:53:00,18:09:00,10.27,7.88,18.15,2,2,5,5,0,0,,,,,,8,7,5,2,,,,
